Depth,NITRITE,NITRATE+NITRITE,AMMONIA,SILICATE,PHOSPHATE
0,0.03,0.38,0,1.27,0.06
10,0.03,0.45,0.98,1.14,0.06
20,0.23,2.08,1.1,2.54,0.27
30,0.04,0.39,0,1.15,0.08
40,0.28,2.19,1.11,2.59,0.19
60,0.35,3.65,1.72,3.26,0.76
0,0.04,0.54,0.11,0.48,0.25
10,0.02,0.09,0,0.17,0.15
20,0.02,0.11,0,0.14,0.1
30,0.07,0.7,1.62,1.92,0.2
40,0.09,0.85,2.06,2.27,0.23
60,0.11,1.24,2.08,2.56,0.41
0,0.03,0.23,0.1,0.46,0.22
10,0.04,0.56,0,0.76,0.41
20,0.02,0.06,0,0.49,0.18
30,0.14,4.45,1.78,4.64,1.85
40,0.09,0.93,1.86,3.03,0.46
60,0.09,0.96,1.98,3.15,0.41
0,0.06,0.09,0.31,0.32,0.29
10,0.03,0.09,0,0.19,0.22
20,0.06,0.49,0.06,1.44,0.33
30,0.1,1.39,1.4,2.98,0.36
40,0.09,1.47,1.36,3.24,0.37
60,0.09,1.19,1.38,3.13,0.31
0,0.05,0.2,0.09,0.41,0.2
10,0.03,0.18,0.07,0.58,0.18
20,0.04,0.24,1.1,1.3,0.19
30,0.12,5.44,1.2,5.66,2.56
40,0.14,0.86,1.13,2.99,0.48
60,0.15,0.97,1.3,3.04,0.46
0,0.12,4.43,0.29,1.92,0.44
10,0.13,4.39,0.34,1.86,0.46
20,0.13,4.94,0.5,2.06,0.51
30,0.11,4.1,0.36,1.71,0.45
40,0.14,6.2,0.81,2.71,0.78
60,0.14,3.98,0.78,1.69,0.49
0,0.19,6.87,0.59,5.42,0.58
10,0.19,6.81,0.72,5.45,0.58
20,0.19,6.81,0.77,5.52,0.56
30,0.19,6.79,0.78,5.48,0.57
40,0.19,6.72,0.87,5.37,0.58
60,0.19,6.77,0.93,5.48,0.57
0,0.21,5.88,0.83,4.49,0.49
10,0.2,6.27,1.1,4.56,0.53
20,0.21,6.04,1.19,4.61,0.55
30,0.2,6.14,1.14,4.53,0.53
40,0.23,6.95,1.55,4.88,0.65
60,0.31,6.4,0.64,4.56,0.46
0,0.02,0.27,0,0.19,0.21
10,0.06,0.54,0,0.51,0.28
20,0.15,1.86,0,0.79,0.42
30,0.16,2.52,0,0.94,0.43
40,0.2,2.99,0.26,1.2,0.55
60,0.2,3.26,0.35,1.35,0.58
0,0,0.29,0,0.18,0.17
10,0,0.33,0.19,0.07,0.12
20,0.01,0.85,0,0.57,0.33
30,0.03,1.1,0.54,2.01,0.32
40,0.05,1.64,0.85,2.4,0.39
60,0.04,1.23,0.85,2.27,0.33
0,0.11,0.93,1.04,3.58,0.17
10,0.09,0.76,0.84,3.69,0.15
20,0.1,0.63,0.8,3.66,0.13
30,0.17,2.28,0.64,5.27,0.22
40,0.28,4.86,0.55,6.96,0.39
60,0.27,4.52,0.37,6.86,0.34
30,0.39,2.92,0.82,3.06,0.28
40,0.28,3.26,0.24,3.4,0.31
60,0.13,4.8,0.26,4.9,0.42
0,0.16,3.07,0.6,3.02,0.51
10,0.15,3.14,0.29,3.09,0.48
20,0.14,3.33,0,3.08,0.39
40,0.13,2.94,0.13,2.86,0.5
60,0.12,2.9,0.12,2.82,0.55
0,0.07,3.18,0.32,2.74,0.72
10,0,3.32,0.05,2.32,0.09
20,0.09,3.35,0.37,2.54,0.21
30,0.2,3.48,0.41,2.89,0.31
40,0.23,0.98,0.42,3.01,0.35
60,0.24,1.02,0.5,3.03,0.37
0,0.06,0.41,0.17,1.99,0.09
10,0.05,0.41,0.16,2.01,0.09
20,0.06,0.45,0.17,2.01,0.09
30,0.11,1.61,0.49,2.28,0.16
40,0.2,3.46,0.85,2.99,0.29
60,0.22,3.6,0.87,2.97,0.31
0,0,0,0.05,1.41,0
10,0,0,0.04,1.41,0
20,0,0,0.03,1.41,0
30,0,0,0.18,1.5,0.04
40,0.43,2.11,1.13,2.53,0.24
60,0.53,2.63,1.32,2.69,0.29
0,0,0,0,0.26,0
10,0,0,0,0.3,0
20,0.03,0.09,0,0.32,0.04
30,0.85,3.55,0,2.39,0.24
40,0.39,1.51,0,1.1,0.12
60,1.2,5.24,0.03,3.31,0.35
10,0.01,0.06,0.49,0.37,0.03
20,0.12,1.66,0.63,1.57,0.1
30,0.25,4.58,0.66,2.64,0.25
40,0.31,4.88,0.73,3.01,0.3
60,0.28,5.05,0.83,3.23,0.34
0,0.01,0.16,0.39,0.98,0.52
10,0.08,0.76,0.08,1.45,0.07
20,0.37,3.2,0.1,2.57,0.18
30,0.41,3.18,0.1,2.63,0.19
40,0.43,3.28,0.08,2.7,0.19
60,0.43,3.34,0.08,2.73,0.21
0,0.01,0.25,0.55,1,0.53
10,0.06,0.7,0.18,1.44,0.1
20,0.36,3.07,0.13,2.53,0.18
30,0.41,3.19,0.14,2.65,0.19
40,0.42,3.27,0.13,2.69,0.19
60,0.43,3.37,0.1,2.73,0.2
0,0.07,0.21,0.23,1.32,0.07
10,0.05,0.04,0.04,1.27,0.04
20,0.34,1.12,0.06,1.72,0.13
30,0.65,2.16,0.22,2.08,0.16
40,0.54,2.36,0.15,2.1,0.16
60,0.3,3,0.37,2.67,0.2
0,1.04,2.83,0.33,2.02,0.18
0,1.06,2.91,0.32,2.04,0.23
10,1.1,3.28,0.59,2.12,0.23
10,1.18,3.37,0.82,2.08,0.61
20,1.06,3.15,0.6,1.94,0.24
20,1.08,3.26,0.81,2,0.48
30,1.13,3.19,0.4,2.05,0.27
30,1.04,3.01,0.55,1.85,0.31
40,0.98,2.75,0.41,1.73,0.23
40,1.12,3.14,0.94,1.96,0.66
60,1.07,3.03,0.31,1.92,0.28
60,1.07,3.02,0.35,1.9,0.29
0,0.21,3.9,0.79,2.97,0.39
0,0.22,3.81,0.66,2.99,0.41
10,0.23,4.21,0.73,3.31,0.41
10,0.23,4.17,0.63,3.31,0.41
20,0.25,4.51,1.01,3.5,0.46
20,0.26,4.49,0.75,3.49,0.45
30,0.36,5.41,0.8,3.81,0.62
30,0.36,5.37,1.06,3.78,0.62
40,0.36,5.32,0.86,3.71,0.65
40,0.36,5.28,0.86,3.7,0.64
60,0.33,4.57,1.1,3.14,0.48
60,0.34,4.56,1.15,3.09,0.49
0,0.17,3.64,0.03,2.87,0.43
0,0.18,3.72,0.03,2.83,0.39
10,0.18,3.72,0.03,2.83,0.4
10,0.19,3.73,0.03,2.84,0.4
20,0.19,3.82,0.03,2.83,0.39
20,0.18,4.16,0.03,3.18,0.9
30,0.19,3.89,0.03,2.83,0.39
30,0.2,3.96,0.03,2.98,0.45
40,0.21,4.42,0.03,2.88,0.43
40,0.22,4.32,0.03,2.89,0.45
60,0.22,4.56,0.03,2.91,0.46
60,0.22,4.54,0.03,3.02,0.5
0,0.02,0.06,0.06,1.8,0.11
0,0.02,0.03,0.03,1.79,0.11
10,0.02,0.07,0.03,1.8,0.09
10,0.02,0.04,0.04,1.78,0.1
20,0.14,1.23,0.26,1.85,0.2
20,0.11,1.26,0.22,1.86,0.2
30,0.19,3.05,0.72,2.14,0.34
30,0.19,3.05,0.78,2.13,0.35
40,0.19,3.18,0.79,2.19,0.35
40,0.19,3.09,0.75,2.2,0.35
60,0.19,3.01,0.8,1.7,0.35
60,0.19,2.9,0.69,1.69,0.34
0,0.05,0.06,0.18,1.39,0.21
0,0.04,0.09,0.29,1.55,0.38
10,0.03,0.04,0.06,1.55,0.21
10,0.03,0.06,0.22,1.55,0.28
20,0.06,0.18,0.11,1.57,0.2
20,0.06,0.24,0.38,1.41,0.23
30,0.09,1.26,1.02,0.65,0.34
30,0.09,1.31,0.91,0.69,0.36
40,0.09,1.29,1.03,0.59,0.34
40,0.1,1.37,1.12,0.65,0.38
60,0.1,1.34,0.94,0.72,0.35
60,0.1,1.41,1,0.79,0.38
0,0.01,0.02,0.03,0.75,0.11
0,0.01,0.02,0.03,0.77,0.11
10,0.01,0.02,0.03,0.47,0.1
10,0.01,0.02,0.03,0.47,0.1
20,0.07,1.77,0.49,0.44,0.21
20,0.08,1.72,0.48,0.43,0.22
30,0.1,2.43,1.32,1.5,0.36
30,0.1,2.36,1.19,1.47,0.37
40,0.09,2.01,1.41,1.73,0.4
40,0.09,1.93,1.37,1.72,0.4
60,0.09,2.04,1.28,1.7,0.41
60,0.1,2.02,1.29,1.69,0.4
0,0.01,0.03,0.19,0.17,0.23
0,0.01,0.02,0.02,0.11,0.23
10,0.02,0.18,0.2,0.17,0.24
10,0.02,0.19,0.13,0.7,0.23
20,0.19,3.17,1.15,0.77,0.46
20,0.19,3.18,1.07,1.07,0.46
30,0.2,3.62,1.72,1.15,0.55
30,0.2,3.62,1.65,1.11,0.55
40,0.2,3.64,1.73,1.13,0.56
40,0.21,3.6,1.69,1.17,0.56
60,0.19,3.5,1.72,1.15,0.55
60,0.2,3.49,1.59,1.12,0.55
0,0.02,0.09,0.39,0.57,0.02
10,0.02,0.05,0.12,0.56,0.02
20,0.02,0.11,0.19,0.43,0.04
30,0.12,2.64,0.41,1.34,0.12
40,0.21,5.56,0.15,2.54,0.29
60,0.19,5.43,0.1,3.23,0.75
0,0,0,0.1,0.62,0.15
10,0.02,0.05,0.05,0.55,0.12
20,0.02,0.07,0.1,0.42,0.09
30,0.12,2.61,0.21,1.34,0.17
40,0.21,5.56,0.08,2.53,0.34
60,0.19,5.43,0.09,3.17,0.75
0,0.01,0.05,0.06,1.01,0.02
10,0.02,0.08,0.16,0.81,0.02
20,0.01,0.06,0.1,0.54,0.02
30,0.07,4.69,0.1,3.04,0.11
40,0.08,5.86,0.13,3.76,0.35
0,0.02,0.07,0.06,0.7,0.11
10,0.04,0.08,0.1,0.64,0.06
20,0.03,0.06,0.1,0.47,0.04
30,0.1,4.78,0.08,2.99,0.22
40,0.09,6.25,0.06,3.65,0.38
0,0.2,4.09,0.43,2.4,0.27
10,0.2,4.07,0.41,2.44,0.26
20,0.19,4.23,0.47,2.37,0.35
30,0.19,3.6,0.38,1.99,0.24
40,0.18,4.19,0.49,2.37,0.27
60,0.19,3.63,0.34,2.29,0.16
0,0.22,4.5,0.4,2.54,0.32
10,0.22,4.32,0.43,2.44,0.33
20,0.23,4.16,0.38,2.39,0.3
30,0.22,3.76,0.32,2.16,0.2
40,0.22,3.76,0.39,2.18,0.26
60,0.23,4.6,0.46,2.43,0.38
10,0.36,2.51,0.51,1.97,0.21
20,0.35,2.59,0.4,1.92,0.22
30,0.37,2.65,0.42,1.96,0.24
40,0.37,2.62,0.44,1.95,0.25
60,0.37,2.6,0.63,1.96,0.26
0,0.37,2.46,0.41,1.9,0.24
10,0.36,2.34,0.43,1.81,0.24
20,0.38,2.55,0.36,2,0.26
30,0.38,2.54,0.37,1.93,0.27
40,0.35,2.32,0.37,1.75,0.25
60,0.38,2.5,0.46,1.95,0.25
10,0.71,3.12,0.13,2.28,0.2
20,0.71,3.15,0.15,2.31,0.23
30,0.72,3.14,0.12,2.3,0.24
40,0.71,3.14,0.11,2.28,0.25
60,0.73,3.17,0.19,2.29,0.26
0,0.07,5.59,1.11,3.3,0.43
10,0.04,5.7,0.7,3.32,0.43
20,0.03,5.67,0.65,3.32,0.47
30,0.06,5.7,1.24,3.32,0.46
40,0.03,5.68,0.7,3.35,0.47
60,0.03,5.67,0.73,3.34,0.47
0,0.05,5.65,1.11,3.27,0.47
10,0.03,5.67,0.73,3.28,0.47
20,0.02,5.66,0.62,3.29,0.48
30,0.06,5.7,1.29,3.29,0.47
40,0.03,5.72,0.79,3.29,0.48
60,0.03,5.7,0.83,3.27,0.49
0,0.04,8.35,2.21,3.16,0.4
10,0.03,7.49,2.66,2.45,0.38
20,0.09,7.15,1.1,2.52,0.4
30,0.02,7.26,1.65,2.49,0.43
40,0.08,6.23,1.14,2.21,0.36
60,0.07,5.73,0.89,2.12,0.32
0,0.08,5.53,0.17,3.16,0.3
10,0.08,6.92,0.11,3.12,0.3
20,0.08,6.48,0.14,2.93,0.37
30,0.08,6.54,0.13,2.56,0.32
40,0.08,5.84,0.26,2.71,0.4
60,0.09,5.97,0.31,2.89,0.48
0,0.27,5.99,0.18,2.39,0.35
0,0.28,6.25,0.18,2.49,0.33
0,0.28,5.05,0.23,2.03,0.28
10,0.29,5.2,0,2.03,0.36
20,0.28,5.21,0.03,2.01,0.37
30,0.29,5.27,0.18,2.05,0.39
40,0.28,5.23,0.03,2.04,0.39
60,0.28,5.23,0.03,2,0.38
0,0.28,5.17,0.19,1.94,0.37
10,0.29,5.2,0.03,2.13,0.5
20,0.28,5.16,0.03,1.97,0.4
30,0.29,5.21,0.09,2.02,0.39
40,0.3,5.2,0.03,2.13,0.69
60,0.29,5.21,0.03,2,0.4
0,0.08,0.93,0.29,0.75,0.17
10,0.09,0.89,0.57,0.55,0.24
20,0.16,2.32,1.49,1.11,0.36
30,0.16,2.19,1.15,0.93,0.29
40,0.16,2.08,0.91,1.01,0.25
60,0.13,2.8,1.01,1.55,0.47
0,0.1,1.11,0.39,0.76,0.2
10,0.11,0.97,0.62,0.54,0.21
20,0.18,2.48,1.73,1.05,0.35
40,0.19,2.5,1.36,1.24,0.33
60,0.16,3.02,1.05,1.6,0.49
0,0.03,0.33,0.03,0.63,0.05
10,0.04,0.38,0.03,0.62,0.08
20,0.09,2.18,0.84,0.97,0.19
30,0.11,2.83,1.28,1.06,0.25
40,0.12,2.98,1.3,1.09,0.27
60,0.12,3.1,1.63,1.14,0.3
0,0.04,0.37,0.03,0.67,0.12
10,0.05,0.33,0.03,0.69,0.11
20,0.1,2.21,0.81,1.03,0.21
30,0.12,2.83,1.24,1.15,0.27
40,0.12,2.96,1.26,1.17,0.28
60,0.13,3.07,1.38,1.2,0.29
0,0.01,0.07,0.03,0.23,0.02
10,0.01,0.05,0.03,0.31,0.02
20,0.01,0.3,0.25,0.65,0.1
30,0.06,1.3,1.65,1.52,0.24
40,0.06,1.41,1.74,1.65,0.31
60,0.05,1.11,1.44,1.33,0.22
0,0.01,0.03,0.03,0.29,0.02
10,0.01,0.03,0.03,0.33,0.02
20,0.01,0.33,0.25,0.68,0.1
30,0.06,1.27,1.48,1.56,0.22
40,0.06,1.43,1.6,1.67,0.28
60,0.06,1.54,1.81,1.67,0.28
0,0.01,0.08,0.18,0.34,0.02
10,0.01,0.3,0.47,0.64,0.02
20,0.05,1.58,1.94,1.94,0.09
30,0.05,1.72,2.21,2.09,0.12
40,0.05,1.7,2.17,2.07,0.12
60,0.05,1.89,2.24,2.16,0.13
0,0.01,0.08,0.03,0.24,0.02
10,0.01,0.31,0.53,0.53,0.03
20,0.05,1.65,2.06,1.9,0.11
30,0.06,1.74,2.17,1.99,0.13
40,0.05,1.73,2.2,1.99,0.13
60,0.06,1.92,2.22,2.02,0.14
0,0.01,0.02,0.03,0.39,0.02
10,0.01,0.02,0.06,0.47,0.02
20,0.03,0.63,0.94,1.97,0.08
30,0.07,1.3,1.81,2.73,0.2
40,0.07,1.42,1.94,2.73,0.24
60,0.07,1.4,2.12,2.69,0.26
0,0,0,0.03,0.31,0.04
10,0,0,0.03,0.34,0.04
20,0.04,0.63,0.85,1.88,0.12
30,0.06,1.29,1.85,2.61,0.23
40,0.06,1.37,1.93,2.69,0.25
60,0.06,1.38,1.93,2.65,0.26
0,0,0,0.07,0.28,0
10,0.02,0.05,0.3,0.24,0.07
20,0.01,0.12,0.31,0.8,0.06
30,0.11,1.86,1.37,3.13,0.2
60,0.13,1.77,1.36,3.2,0.32
0,0,0,0.2,0.25,0.07
10,0,0,0.23,0.22,0.07
20,0.01,0.06,0.29,0.69,0.18
30,0.11,1.84,1.34,2.95,0.23
40,0.12,1.77,1.32,2.92,0.2
60,0.12,1.78,1.29,2.84,0.22
10,0.02,0.05,0.49,0.87,0.06
20,0.32,0.08,0.6,0.87,0.07
30,0.36,0.41,0.79,3.49,0.13
40,0.37,0.46,1.08,3.59,0.15
60,0.02,0.49,0.96,3.54,0.16
0,0.01,0.05,0.43,0.7,0.08
10,0.02,0.04,0.4,0.72,0.07
20,0.02,0.05,0.47,0.77,0.06
30,0.31,0.37,0.77,3.48,0.13
40,0.35,0.4,1,3.55,0.14
60,0.37,0.43,0.84,3.54,0.14
0,0.01,0.08,0.59,2.54,0.02
10,0.02,0.09,0.67,2.49,0.02
20,0.09,0.27,0.85,2.42,0.02
30,0.09,5.13,1.02,3.27,0.27
40,0.07,5.48,0.63,3.4,0.35
60,0.07,5.48,0.69,3.46,0.37
0,0.02,0.12,0.8,2.57,0.02
10,0.02,0.13,0.66,2.53,0.04
20,0.09,0.29,0.8,2.43,0.04
30,0.1,5.37,0.71,3.32,0.31
40,0.09,5.68,0.62,3.49,0.37
60,0.09,5.62,0.69,3.45,0.38
0,0.04,0.08,0.04,2.16,0.04
10,0.03,0.1,0.13,2.28,0.04
20,0.04,0.15,0.17,2.41,0.03
30,0.27,0.64,0.27,2.24,0.19
40,0.21,3.94,0.24,3.97,0.28
60,0.21,5.2,0.04,4.34,0.3
0,0.05,0.16,0.23,2.2,0.04
10,0.05,0.1,0.16,2.2,0.09
20,0.04,0.06,0.06,2.2,0
30,0.28,0.67,0.11,2.32,0.04
40,0.22,4.31,0.13,3.86,0.27
60,0.18,5.18,0.1,4.31,0.35
0,0.25,2.24,0.08,1.75,0.15
10,0.26,1.74,0,1.81,0.18
20,0.32,2.49,0,2.03,0.25
30,0.33,2.54,0,1.98,0.22
40,0.34,2.95,0.09,2.01,0.23
60,0.35,3.77,0,2.44,0.16
0,0.26,1.79,0,1.78,0.21
30,0.34,2.69,0,2.05,0.25
40,0.35,2.84,0.07,2.05,0.27
60,0.33,3.74,0.03,2.41,0.31
0,0.09,6.34,0.11,3.55,0.43
10,0.12,6.41,0.08,3.69,0.48
20,0.11,6.4,0.19,3.63,0.51
30,0.11,6.45,0.12,3.63,0.52
40,0.12,6.44,0.15,3.63,0.54
60,0.11,6.41,0,3.61,0.53
0,0.1,6.36,0.05,3.6,0.52
10,0.1,6.52,0.03,3.61,0.52
20,0.11,6.41,0.05,3.63,0.54
30,0.11,6.47,0.03,3.6,0.53
40,0.11,6.49,0.21,3.58,0.53
60,0.11,6.41,0.02,3.59,0.53
0,0.09,6.44,0.04,3.35,0.47
10,0.09,6.47,0.13,3.34,0.51
20,0.08,6.45,0.2,3.33,0.53
40,0.09,6.59,0.09,3.34,0.54
60,0.08,6.44,0.1,3.3,0.54
0,0.08,6.55,0.06,3.29,0.54
10,0.08,6.53,0.14,3.29,0.54
20,0.06,6.48,0.23,3.29,0.55
40,0.07,6.57,0.14,3.28,0.55
60,0.06,6.48,0.09,3.3,0.55
0,0.23,6.37,0.12,3.34,0.53
10,0.14,6.99,0.12,3.34,0.53
20,0.15,6.8,0.27,3.33,0.54
30,0.15,6.8,0.21,3.36,0.56
40,0.2,6.75,0.25,3.44,0.64
60,0.17,6.43,0.21,3.37,0.56
0,0.14,6.43,0.08,3.32,0.56
10,0.14,6.57,0.09,3.34,0.56
20,0.14,7.01,0.21,3.32,0.57
30,0.13,6.52,0.13,3.33,0.57
40,0.13,8.05,0.18,3.35,0.57
60,0.15,6.63,0.17,3.36,0.57
0,0.18,6.45,0.34,3.03,0.47
10,0.18,7.12,0.21,3.15,0.5
20,0.19,6.52,0.21,2.99,0.5
30,0.2,6.42,0.07,2.98,0.47
40,0.21,6.57,0.15,2.9,0.51
60,0.26,6.98,0.26,2.99,0.53
0,0.18,6.92,0,3.13,0.42
10,0.16,6.31,0.12,2.97,0.47
20,0.16,6.48,0.12,2.98,0.49
30,0.18,6.53,0.11,2.99,0.48
40,0.21,6.47,0.2,3,0.51
60,0.27,7.49,0,3.1,0.48
0,0.18,6.43,0,2.81,0.45
10,0.23,6.46,0,2.87,0.52
20,0.19,6.52,0.06,2.85,0.51
30,0.2,6.53,0.04,2.85,0.51
40,0.19,6.45,0.06,2.86,0.51
0,0.2,6.51,0,2.82,0.46
10,0.22,6.75,0.09,2.84,0.5
20,0.19,6.67,0,2.81,0.5
30,0.2,6.54,0.05,2.8,0.51
40,0.19,6.59,0.1,2.8,0.51
0,0.23,5.76,0,2.51,0.44
10,0.25,5.93,0,2.41,0.46
20,0.25,5.94,0.05,2.33,0.48
30,0.25,5.92,0,2.28,0.49
40,0.25,5.92,0,2.28,0.48
60,0.25,5.99,0.05,2.22,0.49
0,0.23,5.89,0,2.36,0.47
10,0.23,5.93,0,2.36,0.47
20,0.29,6.07,0,2.32,0.5
30,0.26,5.92,0,2.27,0.57
40,0.25,5.92,0,2.31,0.49
60,0.26,5.98,0,2.25,0.49
0,0.06,0.15,0.41,0.08,0.1
10,0.02,0.1,0.41,0.06,0.14
20,0.07,0.58,1.52,0.36,0.27
30,0.1,0.85,2.22,0.45,0.33
40,0.1,0.86,2.17,0.47,0.35
60,0.1,0.97,2.16,0.47,0.39
0,0.1,0.31,0.33,0.05,0.17
10,0.02,0.85,0.46,0.04,0.17
20,0.06,0.61,1.52,0.31,0.28
30,0.08,1.05,2.19,0.4,0.34
40,0.07,0.92,2.14,0.39,0.34
60,0.08,0.89,2.12,0.4,0.34
0,0,0,4.17,0.17,0.11
10,0,0,0.64,0.15,0.11
20,0,0,0.52,0.15,0.11
